'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[12:42:14.308 21/01/2026]',0.22,0.31,0.15,0.15,0.00,0.00,0.07,0.07,0.92,0.84,0.41,0.59,0.00,0.00,0.49,0.33,1.62,1.59,0.75,0.65,0.00,0.00,0.67,0.79,0.72,1.16,0.73,0.77,0.00,0.00,0.86,0.74,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.334 21/01/2026]',0.23,0.31,0.14,0.16,0.00,0.00,0.07,0.07,0.95,0.83,0.44,0.60,0.00,0.00,0.50,0.34,1.63,1.58,0.74,0.66,0.00,0.00,0.64,0.79,0.73,1.19,0.75,0.79,0.00,0.00,0.87,0.76,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.360 21/01/2026]',0.22,0.30,0.14,0.15,0.00,0.00,0.07,0.07,0.99,0.81,0.47,0.62,0.00,0.00,0.51,0.35,1.62,1.58,0.74,0.67,0.00,0.00,0.64,0.79,0.75,1.21,0.76,0.80,0.00,0.00,0.88,0.77,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.388 21/01/2026]',0.21,0.28,0.14,0.14,0.00,0.00,0.08,0.08,1.03,0.79,0.49,0.63,0.00,0.00,0.52,0.36,1.62,1.57,0.74,0.69,0.00,0.00,0.64,0.79,0.77,1.23,0.77,0.81,0.00,0.00,0.89,0.78,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.414 21/01/2026]',0.20,0.26,0.14,0.14,0.00,0.00,0.08,0.08,1.06,0.80,0.52,0.66,0.00,0.00,0.53,0.37,1.61,1.57,0.74,0.71,0.00,0.00,0.64,0.78,0.80,1.25,0.78,0.82,0.00,0.00,0.90,0.78,0.04,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.440 21/01/2026]',0.20,0.25,0.14,0.14,0.00,0.00,0.08,0.08,1.11,0.82,0.54,0.68,0.00,0.00,0.54,0.38,1.58,1.56,0.75,0.73,0.00,0.00,0.65,0.77,0.83,1.27,0.79,0.83,0.00,0.00,0.90,0.79,0.04,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.468 21/01/2026]',0.19,0.25,0.14,0.14,0.00,0.00,0.08,0.08,1.17,0.85,0.56,0.70,0.00,0.00,0.54,0.38,1.55,1.55,0.76,0.75,0.00,0.00,0.66,0.76,0.87,1.29,0.80,0.84,0.00,0.00,0.91,0.79,0.04,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.496 21/01/2026]',0.19,0.24,0.13,0.14,0.00,0.00,0.08,0.08,1.22,0.88,0.58,0.73,0.00,0.00,0.55,0.39,1.52,1.53,0.76,0.77,0.00,0.00,0.67,0.75,0.91,1.31,0.81,0.85,0.00,0.00,0.91,0.79,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.522 21/01/2026]',0.18,0.24,0.13,0.14,0.00,0.00,0.08,0.08,1.26,0.91,0.60,0.75,0.00,0.00,0.55,0.40,1.50,1.52,0.77,0.79,0.00,0.00,0.67,0.75,0.95,1.32,0.82,0.86,0.00,0.00,0.91,0.80,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.550 21/01/2026]',0.18,0.24,0.13,0.15,0.00,0.00,0.08,0.08,1.31,0.94,0.61,0.77,0.00,0.00,0.56,0.41,1.47,1.51,0.78,0.81,0.00,0.00,0.68,0.74,0.98,1.34,0.83,0.88,0.00,0.00,0.92,0.80,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.578 21/01/2026]',0.18,0.24,0.12,0.14,0.00,0.00,0.08,0.07,1.36,0.97,0.63,0.79,0.00,0.00,0.57,0.41,1.42,1.49,0.78,0.83,0.00,0.00,0.69,0.74,0.99,1.35,0.84,0.89,0.00,0.00,0.93,0.81,0.04,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.606 21/01/2026]',0.17,0.22,0.12,0.13,0.00,0.00,0.08,0.07,1.41,1.01,0.64,0.81,0.00,0.00,0.58,0.43,1.37,1.47,0.78,0.85,0.00,0.00,0.68,0.74,1.00,1.35,0.85,0.90,0.00,0.00,0.92,0.82,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.633 21/01/2026]',0.18,0.22,0.13,0.13,0.00,0.00,0.09,0.08,1.45,1.04,0.66,0.83,0.00,0.00,0.59,0.44,1.35,1.46,0.77,0.86,0.00,0.00,0.67,0.73,1.00,1.33,0.85,0.91,0.00,0.00,0.91,0.82,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.661 21/01/2026]',0.19,0.22,0.13,0.14,0.00,0.00,0.09,0.08,1.47,1.07,0.68,0.85,0.00,0.00,0.59,0.45,1.38,1.46,0.75,0.86,0.00,0.00,0.67,0.73,0.98,1.31,0.86,0.91,0.00,0.00,0.89,0.81,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.688 21/01/2026]',0.19,0.22,0.13,0.14,0.00,0.00,0.09,0.09,1.48,1.08,0.69,0.86,0.00,0.00,0.59,0.46,1.42,1.48,0.73,0.85,0.00,0.00,0.70,0.74,0.97,1.28,0.87,0.92,0.00,0.00,0.87,0.80,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.705 21/01/2026]',0.18,0.21,0.13,0.14,0.00,0.00,0.10,0.09,1.48,1.08,0.69,0.87,0.00,0.00,0.59,0.46,1.47,1.50,0.70,0.83,0.00,0.00,0.71,0.73,0.97,1.25,0.89,0.93,0.00,0.00,0.85,0.77,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.710 21/01/2026]',0.18,0.20,0.12,0.13,0.00,0.00,0.10,0.09,1.47,1.08,0.69,0.87,0.00,0.00,0.59,0.45,1.52,1.52,0.72,0.82,0.00,0.00,0.73,0.72,0.97,1.22,0.90,0.94,0.00,0.00,0.83,0.74,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.718 21/01/2026]',0.17,0.20,0.12,0.13,0.00,0.00,0.10,0.09,1.46,1.08,0.69,0.87,0.00,0.00,0.59,0.44,1.57,1.55,0.73,0.86,0.00,0.00,0.74,0.71,0.98,1.19,0.92,0.96,0.00,0.00,0.82,0.71,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.735 21/01/2026]',0.17,0.19,0.12,0.13,0.00,0.00,0.10,0.09,1.44,1.08,0.69,0.86,0.00,0.00,0.59,0.43,1.62,1.57,0.75,0.89,0.00,0.00,0.75,0.70,1.00,1.17,0.93,0.97,0.00,0.00,0.80,0.69,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.752 21/01/2026]',0.17,0.19,0.12,0.14,0.00,0.00,0.10,0.09,1.43,1.08,0.69,0.86,0.00,0.00,0.59,0.42,1.67,1.59,0.76,0.93,0.00,0.00,0.76,0.69,1.01,1.15,0.95,0.99,0.00,0.00,0.78,0.66,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.769 21/01/2026]',0.17,0.19,0.13,0.14,0.00,0.00,0.10,0.09,1.42,1.08,0.69,0.86,0.00,0.00,0.60,0.42,1.72,1.61,0.78,0.95,0.00,0.00,0.77,0.68,1.02,1.13,0.96,1.01,0.00,0.00,0.77,0.65,0.05,0.04,0.02,0.03,0.00,0.00,0.03,0.04,0
'[12:42:14.785 21/01/2026]',0.16,0.19,0.13,0.14,0.00,0.00,0.10,0.09,1.40,1.09,0.69,0.86,0.00,0.00,0.60,0.41,1.76,1.62,0.79,0.98,0.00,0.00,0.78,0.66,1.04,1.12,0.98,1.03,0.00,0.00,0.75,0.65,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.802 21/01/2026]',0.16,0.18,0.13,0.14,0.00,0.00,0.10,0.09,1.39,1.10,0.69,0.86,0.00,0.00,0.61,0.41,1.80,1.63,0.80,1.00,0.00,0.00,0.78,0.70,1.05,1.11,0.99,1.05,0.00,0.00,0.75,0.65,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.818 21/01/2026]',0.16,0.18,0.13,0.13,0.00,0.00,0.10,0.09,1.38,1.11,0.68,0.87,0.00,0.00,0.62,0.41,1.83,1.64,0.81,1.01,0.00,0.00,0.78,0.74,1.06,1.11,1.00,1.07,0.00,0.00,0.74,0.66,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.836 21/01/2026]',0.16,0.18,0.13,0.13,0.00,0.00,0.10,0.09,1.37,1.12,0.68,0.88,0.00,0.00,0.63,0.42,1.87,1.64,0.82,1.02,0.00,0.00,0.78,0.78,1.07,1.10,1.01,1.09,0.00,0.00,0.73,0.66,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.852 21/01/2026]',0.16,0.18,0.13,0.13,0.00,0.00,0.11,0.09,1.36,1.12,0.68,0.89,0.00,0.00,0.63,0.42,1.90,1.64,0.82,1.03,0.00,0.00,0.78,0.81,1.08,1.10,1.02,1.11,0.00,0.00,0.72,0.67,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.868 21/01/2026]',0.16,0.18,0.13,0.13,0.00,0.00,0.11,0.10,1.35,1.13,0.68,0.89,0.00,0.00,0.64,0.43,1.93,1.64,0.83,1.03,0.00,0.00,0.79,0.84,1.08,1.10,1.02,1.13,0.00,0.00,0.72,0.68,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.885 21/01/2026]',0.16,0.18,0.13,0.12,0.00,0.00,0.12,0.10,1.34,1.13,0.69,0.90,0.00,0.00,0.66,0.43,1.95,1.64,0.83,1.04,0.00,0.00,0.78,0.88,1.09,1.10,1.02,1.15,0.00,0.00,0.71,0.69,0.05,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.902 21/01/2026]',0.17,0.20,0.14,0.14,0.00,0.00,0.13,0.11,1.34,1.14,0.70,0.93,0.00,0.00,0.67,0.45,1.97,1.65,0.83,1.02,0.00,0.00,0.78,0.90,1.10,1.11,1.02,1.16,0.00,0.00,0.71,0.69,0.04,0.04,0.02,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.919 21/01/2026]',0.17,0.21,0.14,0.15,0.00,0.00,0.14,0.12,1.33,1.15,0.71,0.96,0.00,0.00,0.69,0.46,1.98,1.68,0.82,1.01,0.00,0.00,0.77,0.92,1.11,1.11,1.01,1.16,0.00,0.00,0.70,0.69,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.935 21/01/2026]',0.17,0.21,0.15,0.16,0.00,0.00,0.14,0.12,1.32,1.14,0.72,0.98,0.00,0.00,0.71,0.48,1.99,1.69,0.81,0.99,0.00,0.00,0.76,0.94,1.12,1.12,1.01,1.16,0.00,0.00,0.69,0.69,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.952 21/01/2026]',0.18,0.21,0.15,0.16,0.00,0.00,0.15,0.13,1.33,1.14,0.73,1.01,0.00,0.00,0.74,0.49,1.99,1.71,0.80,0.97,0.00,0.00,0.74,0.96,1.12,1.13,0.99,1.16,0.00,0.00,0.67,0.69,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.968 21/01/2026]',0.18,0.21,0.16,0.17,0.00,0.00,0.16,0.14,1.33,1.13,0.75,1.04,0.00,0.00,0.76,0.52,1.99,1.72,0.78,0.94,0.00,0.00,0.72,0.96,1.11,1.13,0.97,1.15,0.00,0.00,0.65,0.69,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.985 21/01/2026]',0.17,0.21,0.15,0.17,0.00,0.00,0.15,0.14,1.32,1.13,0.76,1.06,0.00,0.00,0.79,0.55,1.98,1.72,0.76,0.92,0.00,0.00,0.71,0.97,1.10,1.13,0.95,1.14,0.00,0.00,0.63,0.70,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.002 21/01/2026]',0.17,0.20,0.14,0.16,0.00,0.00,0.15,0.14,1.31,1.11,0.76,1.09,0.00,0.00,0.82,0.57,1.97,1.71,0.73,0.89,0.00,0.00,0.69,0.97,1.09,1.12,0.92,1.11,0.00,0.00,0.60,0.71,0.05,0.04,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.019 21/01/2026]',0.16,0.19,0.14,0.16,0.00,0.00,0.14,0.14,1.30,1.10,0.76,1.11,0.00,0.00,0.84,0.59,1.96,1.71,0.72,0.86,0.00,0.00,0.68,0.96,1.07,1.11,0.89,1.09,0.00,0.00,0.58,0.72,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.035 21/01/2026]',0.16,0.19,0.14,0.16,0.00,0.00,0.14,0.14,1.28,1.08,0.76,1.12,0.00,0.00,0.86,0.62,1.96,1.69,0.72,0.84,0.00,0.00,0.66,0.96,1.05,1.09,0.86,1.06,0.00,0.00,0.56,0.73,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.052 21/01/2026]',0.16,0.19,0.14,0.16,0.00,0.00,0.13,0.13,1.27,1.05,0.76,1.13,0.00,0.00,0.89,0.64,1.95,1.67,0.71,0.88,0.00,0.00,0.65,0.96,1.04,1.08,0.84,1.03,0.00,0.00,0.55,0.73,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.069 21/01/2026]',0.16,0.19,0.14,0.16,0.00,0.00,0.13,0.13,1.26,1.03,0.76,1.14,0.00,0.00,0.91,0.66,1.94,1.66,0.71,0.92,0.00,0.00,0.64,0.96,1.02,1.06,0.81,1.01,0.00,0.00,0.53,0.74,0.04,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.085 21/01/2026]',0.16,0.19,0.14,0.16,0.00,0.00,0.12,0.13,1.24,1.01,0.77,1.14,0.00,0.00,0.93,0.67,1.93,1.64,0.70,0.96,0.00,0.00,0.63,0.96,1.01,1.04,0.79,0.99,0.00,0.00,0.52,0.75,0.04,0.03,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.101 21/01/2026]',0.17,0.19,0.15,0.15,0.00,0.00,0.13,0.12,1.23,1.00,0.77,1.15,0.00,0.00,0.95,0.69,1.91,1.63,0.69,0.99,0.00,0.00,0.62,0.97,1.00,1.03,0.77,0.96,0.00,0.00,0.50,0.76,0.05,0.03,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.118 21/01/2026]',0.18,0.20,0.15,0.16,0.00,0.00,0.13,0.12,1.21,0.99,0.78,1.17,0.00,0.00,0.97,0.71,1.89,1.62,0.68,1.01,0.00,0.00,0.63,0.99,0.99,1.02,0.75,0.94,0.00,0.00,0.49,0.77,0.05,0.03,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.135 21/01/2026]',0.18,0.20,0.16,0.16,0.00,0.00,0.13,0.12,1.19,0.98,0.78,1.18,0.00,0.00,0.99,0.73,1.86,1.62,0.67,1.03,0.00,0.00,0.65,1.00,1.00,1.01,0.74,0.92,0.00,0.00,0.49,0.77,0.05,0.03,0.03,0.02,0.00,0.00,0.03,0.03,0
'[12:42:15.151 21/01/2026]',0.19,0.21,0.16,0.17,0.00,0.00,0.13,0.12,1.17,0.97,0.79,1.20,0.00,0.00,1.01,0.75,1.84,1.62,0.66,1.04,0.00,0.00,0.67,1.01,1.00,1.00,0.73,0.90,0.00,0.00,0.48,0.78,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.168 21/01/2026]',0.20,0.21,0.17,0.17,0.00,0.00,0.14,0.12,1.16,0.96,0.79,1.21,0.00,0.00,1.04,0.77,1.81,1.62,0.67,1.06,0.00,0.00,0.68,1.01,1.00,1.00,0.71,0.88,0.00,0.00,0.47,0.79,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.185 21/01/2026]',0.21,0.22,0.17,0.18,0.00,0.00,0.14,0.12,1.15,0.96,0.80,1.23,0.00,0.00,1.06,0.80,1.77,1.62,0.67,1.07,0.00,0.00,0.69,1.01,1.00,0.98,0.69,0.85,0.00,0.00,0.46,0.80,0.06,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.202 21/01/2026]',0.22,0.23,0.18,0.18,0.00,0.00,0.15,0.13,1.13,0.96,0.81,1.25,0.00,0.00,1.08,0.82,1.75,1.62,0.68,1.07,0.00,0.00,0.70,1.01,1.00,0.97,0.68,0.82,0.00,0.00,0.44,0.81,0.06,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.219 21/01/2026]',0.23,0.25,0.19,0.19,0.00,0.00,0.15,0.14,1.12,0.97,0.81,1.27,0.00,0.00,1.10,0.85,1.72,1.62,0.68,1.08,0.00,0.00,0.70,1.01,1.00,0.96,0.66,0.80,0.00,0.00,0.45,0.82,0.06,0.05,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.235 21/01/2026]',0.22,0.26,0.18,0.20,0.00,0.00,0.15,0.14,1.11,0.99,0.82,1.28,0.00,0.00,1.13,0.87,1.66,1.62,0.69,1.09,0.00,0.00,0.70,1.01,0.98,0.94,0.64,0.78,0.00,0.00,0.45,0.82,0.06,0.05,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.252 21/01/2026]',0.21,0.25,0.17,0.19,0.00,0.00,0.15,0.14,1.09,0.98,0.81,1.30,0.00,0.00,1.16,0.89,1.61,1.61,0.71,1.09,0.00,0.00,0.70,1.00,0.96,0.91,0.60,0.74,0.00,0.00,0.44,0.83,0.06,0.05,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.269 21/01/2026]',0.20,0.23,0.16,0.18,0.00,0.00,0.14,0.14,1.07,0.97,0.81,1.30,0.00,0.00,1.18,0.92,1.55,1.60,0.73,1.09,0.00,0.00,0.69,0.98,0.94,0.87,0.58,0.70,0.00,0.00,0.44,0.83,0.06,0.05,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.286 21/01/2026]',0.21,0.22,0.15,0.17,0.00,0.00,0.14,0.14,1.06,0.95,0.81,1.31,0.00,0.00,1.21,0.96,1.48,1.60,0.75,1.09,0.00,0.00,0.68,0.96,0.91,0.84,0.55,0.68,0.00,0.00,0.42,0.82,0.06,0.05,0.04,0.03,0.00,0.00,0.03,0.04,0
'[12:42:15.302 21/01/2026]',0.21,0.22,0.15,0.16,0.00,0.00,0.13,0.14,1.05,0.95,0.81,1.32,0.00,0.00,1.23,0.99,1.42,1.57,0.77,1.09,0.00,0.00,0.67,0.93,0.88,0.80,0.53,0.68,0.00,0.00,0.42,0.80,0.05,0.05,0.04,0.03,0.00,0.00,0.03,0.04,0
'[12:42:15.318 21/01/2026]',0.21,0.22,0.14,0.16,0.00,0.00,0.12,0.13,1.03,0.95,0.81,1.32,0.00,0.00,1.25,1.01,1.35,1.56,0.78,1.08,0.00,0.00,0.66,0.91,0.86,0.77,0.51,0.68,0.00,0.00,0.43,0.79,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.04,0
'[12:42:15.336 21/01/2026]',0.20,0.21,0.14,0.16,0.00,0.00,0.12,0.13,1.01,0.94,0.81,1.32,0.00,0.00,1.27,1.03,1.28,1.52,0.79,1.08,0.00,0.00,0.65,0.88,0.83,0.74,0.49,0.68,0.00,0.00,0.44,0.77,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.352 21/01/2026]',0.21,0.21,0.14,0.16,0.00,0.00,0.12,0.13,1.00,0.93,0.81,1.31,0.00,0.00,1.29,1.05,1.21,1.50,0.80,1.08,0.00,0.00,0.64,0.85,0.82,0.71,0.50,0.68,0.00,0.00,0.45,0.75,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.369 21/01/2026]',0.21,0.20,0.14,0.16,0.00,0.00,0.12,0.13,0.99,0.91,0.81,1.31,0.00,0.00,1.30,1.06,1.15,1.47,0.80,1.07,0.00,0.00,0.62,0.83,0.81,0.69,0.50,0.68,0.00,0.00,0.45,0.72,0.05,0.04,0.04,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.386 21/01/2026]',0.20,0.20,0.14,0.16,0.00,0.00,0.12,0.12,0.98,0.90,0.81,1.30,0.00,0.00,1.32,1.07,1.12,1.44,0.81,1.07,0.00,0.00,0.61,0.81,0.80,0.67,0.50,0.69,0.00,0.00,0.45,0.70,0.05,0.04,0.04,0.03,0.00,0.00,0.02,0.03,0
'[12:42:15.403 21/01/2026]',0.19,0.19,0.13,0.16,0.00,0.00,0.11,0.12,0.96,0.89,0.81,1.29,0.00,0.00,1.33,1.08,1.15,1.41,0.82,1.06,0.00,0.00,0.59,0.79,0.80,0.65,0.51,0.69,0.00,0.00,0.45,0.68,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.419 21/01/2026]',0.19,0.19,0.13,0.15,0.00,0.00,0.11,0.11,0.95,0.88,0.81,1.28,0.00,0.00,1.34,1.08,1.17,1.39,0.83,1.05,0.00,0.00,0.57,0.77,0.79,0.64,0.51,0.69,0.00,0.00,0.45,0.67,0.05,0.04,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.436 21/01/2026]',0.18,0.18,0.13,0.15,0.00,0.00,0.11,0.11,0.94,0.87,0.81,1.26,0.00,0.00,1.35,1.09,1.19,1.36,0.84,1.03,0.00,0.00,0.55,0.75,0.79,0.62,0.50,0.69,0.00,0.00,0.45,0.65,0.05,0.03,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.453 21/01/2026]',0.17,0.17,0.12,0.15,0.00,0.00,0.11,0.11,0.94,0.87,0.81,1.25,0.00,0.00,1.34,1.10,1.20,1.34,0.85,1.02,0.00,0.00,0.52,0.74,0.78,0.61,0.50,0.68,0.00,0.00,0.44,0.63,0.05,0.03,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.469 21/01/2026]',0.17,0.17,0.12,0.14,0.00,0.00,0.11,0.11,0.93,0.86,0.81,1.23,0.00,0.00,1.34,1.10,1.21,1.33,0.86,1.03,0.00,0.00,0.50,0.72,0.77,0.59,0.50,0.67,0.00,0.00,0.43,0.61,0.05,0.03,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.486 21/01/2026]',0.16,0.16,0.11,0.14,0.00,0.00,0.10,0.10,0.93,0.86,0.81,1.21,0.00,0.00,1.34,1.11,1.22,1.31,0.88,1.04,0.00,0.00,0.47,0.70,0.76,0.58,0.50,0.66,0.00,0.00,0.42,0.59,0.05,0.03,0.04,0.03,0.00,0.00,0.03,0.03,0
'[12:42:15.502 21/01/2026]',0.15,0.15,0.10,0.13,0.00,0.00,0.10,0.09,0.94,0.86,0.81,1.19,0.00,0.00,1.33,1.11,1.22,1.30,0.89,1.05,0.00,0.00,0.44,0.68,0.75,0.57,0.50,0.65,0.00,0.00,0.42,0.57,0.05,0.03,0.03,0.03,0.00,0.00,0.03,0.03,0
