'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[13:33:35.604 20/01/2026]',1.16,0.90,1.10,1.07,0.00,0.00,0.99,0.72,6.04,4.70,3.94,4.02,0.00,0.00,3.59,2.80,6.22,6.16,9.66,10.03,0.00,0.00,8.96,6.91,3.53,2.59,2.76,2.81,0.00,0.00,2.13,1.57,0.18,0.18,0.22,0.24,0.00,0.00,0.21,0.16,0
'[13:33:35.625 20/01/2026]',1.18,0.95,1.09,1.11,0.00,0.00,0.99,0.77,5.80,4.47,3.94,4.00,0.00,0.00,3.64,2.82,6.21,6.16,9.66,10.13,0.00,0.00,8.95,7.00,3.49,2.56,2.69,2.83,0.00,0.00,2.05,1.57,0.17,0.18,0.23,0.23,0.00,0.00,0.22,0.15,0
'[13:33:35.647 20/01/2026]',1.17,0.98,1.08,1.10,0.00,0.00,0.98,0.75,5.57,4.28,3.96,4.03,0.00,0.00,3.69,2.85,6.25,6.14,9.63,10.12,0.00,0.00,8.91,7.02,3.50,2.52,2.61,2.75,0.00,0.00,1.97,1.52,0.18,0.17,0.22,0.24,0.00,0.00,0.21,0.16,0
'[13:33:35.667 20/01/2026]',1.16,0.97,1.06,1.07,0.00,0.00,0.97,0.75,5.35,4.12,3.97,4.06,0.00,0.00,3.74,2.89,6.34,6.14,9.59,10.09,0.00,0.00,8.87,7.01,3.50,2.51,2.54,2.66,0.00,0.00,1.89,1.47,0.19,0.18,0.21,0.22,0.00,0.00,0.21,0.16,0
'[13:33:35.689 20/01/2026]',1.23,0.96,1.03,1.05,0.00,0.00,0.91,0.75,5.06,3.97,3.98,4.09,0.00,0.00,3.79,2.93,6.41,6.14,9.54,10.05,0.00,0.00,8.80,7.00,3.44,2.50,2.49,2.57,0.00,0.00,1.87,1.43,0.18,0.18,0.21,0.21,0.00,0.00,0.20,0.15,0
'[13:33:35.710 20/01/2026]',1.21,0.98,1.03,1.02,0.00,0.00,0.91,0.72,4.81,3.79,3.97,4.10,0.00,0.00,3.79,2.97,6.46,6.16,9.47,10.00,0.00,0.00,8.70,6.98,3.33,2.45,2.46,2.48,0.00,0.00,1.89,1.42,0.18,0.18,0.20,0.21,0.00,0.00,0.20,0.14,0
'[13:33:35.732 20/01/2026]',1.19,0.97,1.03,1.03,0.00,0.00,0.91,0.72,4.58,3.65,3.94,4.09,0.00,0.00,3.77,2.97,6.50,6.20,9.40,9.93,0.00,0.00,8.61,6.92,3.21,2.38,2.46,2.43,0.00,0.00,1.93,1.44,0.17,0.17,0.20,0.21,0.00,0.00,0.20,0.14,0
'[13:33:35.752 20/01/2026]',1.14,0.96,1.04,1.03,0.00,0.00,0.91,0.73,4.39,3.53,3.88,4.06,0.00,0.00,3.73,2.96,6.52,6.22,9.33,9.84,0.00,0.00,8.52,6.87,3.11,2.30,2.49,2.40,0.00,0.00,1.99,1.47,0.17,0.16,0.19,0.20,0.00,0.00,0.19,0.14,0
'[13:33:35.774 20/01/2026]',1.10,0.93,1.04,1.03,0.00,0.00,0.91,0.73,4.22,3.45,3.84,4.01,0.00,0.00,3.69,2.95,6.54,6.20,9.27,9.75,0.00,0.00,8.44,6.82,3.01,2.21,2.51,2.40,0.00,0.00,2.05,1.51,0.17,0.16,0.19,0.20,0.00,0.00,0.19,0.13,0
'[13:33:35.795 20/01/2026]',1.06,0.90,1.04,1.03,0.00,0.00,0.91,0.73,4.08,3.37,3.79,3.97,0.00,0.00,3.66,2.93,6.54,6.19,9.19,9.66,0.00,0.00,8.36,6.77,2.95,2.13,2.55,2.41,0.00,0.00,2.12,1.54,0.17,0.17,0.18,0.19,0.00,0.00,0.18,0.13,0
'[13:33:35.816 20/01/2026]',1.02,0.87,1.03,1.02,0.00,0.00,0.91,0.73,3.96,3.32,3.76,3.94,0.00,0.00,3.63,2.92,6.54,6.16,9.13,9.56,0.00,0.00,8.28,6.71,2.89,2.08,2.58,2.43,0.00,0.00,2.18,1.59,0.16,0.16,0.18,0.19,0.00,0.00,0.17,0.13,0
'[13:33:35.838 20/01/2026]',1.07,0.84,1.12,1.02,0.00,0.00,0.99,0.74,3.90,3.30,3.80,3.92,0.00,0.00,3.68,2.91,6.49,6.13,9.03,9.47,0.00,0.00,8.18,6.66,2.90,2.02,2.68,2.45,0.00,0.00,2.29,1.63,0.16,0.16,0.18,0.19,0.00,0.00,0.18,0.13,0
'[13:33:35.865 20/01/2026]',1.11,0.91,1.20,1.11,0.00,0.00,1.07,0.81,3.86,3.30,3.83,3.97,0.00,0.00,3.72,2.97,6.44,6.05,8.94,9.35,0.00,0.00,8.09,6.57,2.90,2.05,2.77,2.53,0.00,0.00,2.40,1.72,0.17,0.16,0.19,0.20,0.00,0.00,0.18,0.13,0
'[13:33:35.888 20/01/2026]',1.13,0.97,1.23,1.20,0.00,0.00,1.09,0.87,3.84,3.34,3.91,4.02,0.00,0.00,3.80,3.02,6.37,5.98,8.80,9.24,0.00,0.00,7.95,6.49,2.95,2.07,2.92,2.60,0.00,0.00,2.55,1.80,0.16,0.16,0.19,0.20,0.00,0.00,0.19,0.14,0
'[13:33:35.910 20/01/2026]',1.15,0.99,1.27,1.22,0.00,0.00,1.12,0.90,3.88,3.38,4.03,4.12,0.00,0.00,3.91,3.09,6.33,5.88,8.70,9.08,0.00,0.00,7.85,6.38,2.98,2.13,3.07,2.75,0.00,0.00,2.70,1.92,0.16,0.16,0.19,0.20,0.00,0.00,0.19,0.14,0
'[13:33:35.933 20/01/2026]',1.17,1.02,1.31,1.25,0.00,0.00,1.15,0.93,3.91,3.48,4.13,4.24,0.00,0.00,4.01,3.18,6.29,5.83,8.61,8.94,0.00,0.00,7.75,6.28,3.01,2.19,3.20,2.89,0.00,0.00,2.84,2.03,0.16,0.15,0.19,0.20,0.00,0.00,0.19,0.14,0
'[13:33:35.955 20/01/2026]',1.19,1.05,1.34,1.28,0.00,0.00,1.18,0.95,3.94,3.57,4.23,4.34,0.00,0.00,4.11,3.27,6.26,5.77,8.52,8.82,0.00,0.00,7.81,6.19,3.03,2.24,3.32,3.02,0.00,0.00,2.96,2.14,0.15,0.15,0.19,0.21,0.00,0.00,0.19,0.14,0
'[13:33:35.977 20/01/2026]',1.18,1.07,1.33,1.31,0.00,0.00,1.17,0.98,3.98,3.65,4.33,4.45,0.00,0.00,4.21,3.35,6.24,5.73,8.45,8.70,0.00,0.00,7.92,6.10,3.05,2.29,3.44,3.14,0.00,0.00,3.08,2.23,0.15,0.15,0.19,0.21,0.00,0.00,0.19,0.13,0
'[13:33:35.993 20/01/2026]',1.18,1.07,1.32,1.29,0.00,0.00,1.16,0.98,4.01,3.73,4.43,4.55,0.00,0.00,4.30,3.42,6.23,5.70,8.39,8.61,0.00,0.00,8.02,6.03,3.07,2.33,3.55,3.26,0.00,0.00,3.18,2.32,0.15,0.15,0.19,0.21,0.00,0.00,0.18,0.13,0
'[13:33:35.999 20/01/2026]',1.12,1.06,1.27,1.28,0.00,0.00,1.11,0.99,4.08,3.80,4.56,4.65,0.00,0.00,4.42,3.49,6.22,5.68,8.43,8.52,0.00,0.00,8.08,6.07,3.07,2.37,3.64,3.36,0.00,0.00,3.27,2.40,0.15,0.15,0.18,0.20,0.00,0.00,0.18,0.13,0
'[13:33:36.006 20/01/2026]',1.06,1.01,1.21,1.22,0.00,0.00,1.06,0.95,4.15,3.91,4.67,4.78,0.00,0.00,4.53,3.59,6.21,5.76,8.51,8.56,0.00,0.00,8.14,6.11,3.09,2.39,3.74,3.46,0.00,0.00,3.37,2.47,0.15,0.15,0.18,0.20,0.00,0.00,0.19,0.13,0
'[13:33:36.023 20/01/2026]',1.01,0.95,1.16,1.16,0.00,0.00,1.01,0.90,4.21,4.02,4.78,4.90,0.00,0.00,4.64,3.69,6.19,5.82,8.58,8.65,0.00,0.00,8.19,6.16,3.10,2.41,3.84,3.56,0.00,0.00,3.46,2.54,0.14,0.15,0.19,0.21,0.00,0.00,0.19,0.13,0
'[13:33:36.041 20/01/2026]',0.96,0.90,1.10,1.10,0.00,0.00,0.96,0.86,4.27,4.12,4.88,5.01,0.00,0.00,4.74,3.78,6.18,5.89,8.64,8.74,0.00,0.00,8.24,6.20,3.11,2.43,3.93,3.66,0.00,0.00,3.54,2.62,0.14,0.14,0.19,0.21,0.00,0.00,0.19,0.13,0
'[13:33:36.058 20/01/2026]',1.01,0.86,1.17,1.05,0.00,0.00,1.02,0.82,4.44,4.21,5.12,5.11,0.00,0.00,4.95,3.86,6.09,5.95,8.69,8.81,0.00,0.00,8.27,6.24,3.21,2.45,4.13,3.76,0.00,0.00,3.72,2.68,0.15,0.14,0.20,0.22,0.00,0.00,0.19,0.13,0
'[13:33:36.073 20/01/2026]',1.04,0.91,1.21,1.12,0.00,0.00,1.07,0.87,4.63,4.41,5.41,5.34,0.00,0.00,5.23,4.05,6.12,6.00,8.69,8.90,0.00,0.00,8.26,6.27,3.39,2.55,4.45,3.96,0.00,0.00,3.99,2.83,0.17,0.15,0.23,0.22,0.00,0.00,0.22,0.13,0
'[13:33:36.090 20/01/2026]',1.06,0.95,1.26,1.18,0.00,0.00,1.12,0.91,4.81,4.62,5.69,5.64,0.00,0.00,5.48,4.26,6.15,6.02,8.70,8.93,0.00,0.00,8.24,6.26,3.55,2.74,4.74,4.28,0.00,0.00,4.25,3.04,0.19,0.17,0.26,0.25,0.00,0.00,0.25,0.16,0
'[13:33:36.107 20/01/2026]',1.09,0.98,1.30,1.23,0.00,0.00,1.16,0.94,4.98,4.82,5.94,5.92,0.00,0.00,5.71,4.46,6.17,6.04,8.70,8.96,0.00,0.00,8.23,6.25,3.70,2.90,5.01,4.57,0.00,0.00,4.48,3.24,0.22,0.19,0.29,0.28,0.00,0.00,0.28,0.19,0
'[13:33:36.123 20/01/2026]',1.11,1.01,1.34,1.28,0.00,0.00,1.20,0.97,5.13,5.00,6.18,6.18,0.00,0.00,5.93,4.64,6.19,6.06,8.70,8.99,0.00,0.00,8.22,6.25,3.84,3.06,5.26,4.85,0.00,0.00,4.70,3.42,0.24,0.21,0.32,0.31,0.00,0.00,0.30,0.21,0
'[13:33:36.141 20/01/2026]',1.12,1.04,1.33,1.32,0.00,0.00,1.19,1.00,5.28,5.17,6.39,6.42,0.00,0.00,6.12,4.81,6.20,6.08,8.66,9.02,0.00,0.00,8.17,6.24,4.03,3.20,5.58,5.10,0.00,0.00,4.98,3.59,0.25,0.23,0.33,0.34,0.00,0.00,0.31,0.23,0
'[13:33:36.157 20/01/2026]',1.09,1.04,1.30,1.30,0.00,0.00,1.17,1.01,5.39,5.32,6.55,6.62,0.00,0.00,6.26,4.97,6.18,6.08,8.59,9.00,0.00,0.00,8.08,6.22,4.25,3.40,5.94,5.43,0.00,0.00,5.31,3.80,0.24,0.24,0.33,0.34,0.00,0.00,0.31,0.24,0
'[13:33:36.173 20/01/2026]',1.06,1.02,1.27,1.28,0.00,0.00,1.15,0.99,5.50,5.44,6.70,6.76,0.00,0.00,6.39,5.10,6.29,6.08,8.52,8.93,0.00,0.00,7.99,6.18,4.46,3.63,6.28,5.81,0.00,0.00,5.61,4.04,0.24,0.24,0.33,0.34,0.00,0.00,0.31,0.24,0
'[13:33:36.190 20/01/2026]',1.12,1.00,1.33,1.26,0.00,0.00,1.21,0.97,5.52,5.54,6.74,6.88,0.00,0.00,6.43,5.21,6.52,6.27,8.41,8.87,0.00,0.00,7.87,6.26,4.71,3.85,6.66,6.17,0.00,0.00,5.95,4.27,0.23,0.23,0.33,0.35,0.00,0.00,0.31,0.23,0
'[13:33:36.207 20/01/2026]',1.17,1.05,1.40,1.32,0.00,0.00,1.28,1.03,5.54,5.58,6.79,6.92,0.00,0.00,6.46,5.24,6.73,6.49,8.66,8.77,0.00,0.00,8.12,6.48,4.94,4.09,7.02,6.56,0.00,0.00,6.26,4.53,0.23,0.23,0.33,0.35,0.00,0.00,0.31,0.23,0
'[13:33:36.225 20/01/2026]',1.18,1.10,1.42,1.38,0.00,0.00,1.30,1.08,5.54,5.61,6.79,6.96,0.00,0.00,6.47,5.27,6.93,6.70,8.93,8.67,0.00,0.00,8.37,6.69,5.19,4.32,7.41,6.92,0.00,0.00,6.60,4.76,0.22,0.23,0.32,0.35,0.00,0.00,0.30,0.22,0
'[13:33:36.240 20/01/2026]',1.19,1.12,1.44,1.40,0.00,0.00,1.32,1.10,5.55,5.63,6.79,6.95,0.00,0.00,6.47,5.29,7.12,6.90,9.19,8.76,0.00,0.00,8.60,6.88,5.42,4.57,7.77,7.31,0.00,0.00,6.92,5.02,0.22,0.22,0.32,0.35,0.00,0.00,0.29,0.22,0
'[13:33:36.257 20/01/2026]',1.19,1.13,1.45,1.41,0.00,0.00,1.33,1.12,5.56,5.65,6.80,6.95,0.00,0.00,6.48,5.31,7.30,7.09,9.43,9.02,0.00,0.00,8.81,7.06,5.65,4.80,8.11,7.68,0.00,0.00,7.22,5.26,0.21,0.22,0.30,0.34,0.00,0.00,0.27,0.21,0
'[13:33:36.273 20/01/2026]',1.20,1.14,1.45,1.41,0.00,0.00,1.34,1.13,5.57,5.67,6.81,6.97,0.00,0.00,6.48,5.32,7.46,7.26,9.66,9.25,0.00,0.00,9.02,7.24,5.85,5.02,8.43,8.04,0.00,0.00,7.50,5.47,0.20,0.21,0.28,0.32,0.00,0.00,0.25,0.20,0
'[13:33:36.290 20/01/2026]',1.20,1.14,1.45,1.40,0.00,0.00,1.34,1.15,5.58,5.69,6.82,6.98,0.00,0.00,6.49,5.32,7.61,7.43,9.87,9.46,0.00,0.00,9.20,7.41,6.04,5.22,8.72,8.37,0.00,0.00,7.75,5.67,0.19,0.19,0.27,0.30,0.00,0.00,0.24,0.19,0
'[13:33:36.311 20/01/2026]',1.21,1.15,1.45,1.39,0.00,0.00,1.35,1.16,5.61,5.71,6.85,7.00,0.00,0.00,6.52,5.33,7.73,7.58,10.05,9.66,0.00,0.00,9.37,7.56,6.24,5.41,9.00,8.67,0.00,0.00,7.99,5.85,0.19,0.18,0.27,0.28,0.00,0.00,0.24,0.17,0
'[13:33:36.322 20/01/2026]',1.22,1.17,1.45,1.40,0.00,0.00,1.36,1.17,5.64,5.75,6.88,7.04,0.00,0.00,6.54,5.35,7.85,7.70,10.23,9.83,0.00,0.00,9.53,7.71,6.41,5.60,9.26,8.96,0.00,0.00,8.21,6.02,0.19,0.18,0.28,0.29,0.00,0.00,0.24,0.17,0
'[13:33:36.339 20/01/2026]',1.22,1.19,1.45,1.40,0.00,0.00,1.36,1.17,5.66,5.78,6.91,7.07,0.00,0.00,6.56,5.36,7.96,7.81,10.39,9.99,0.00,0.00,9.67,7.84,6.58,5.78,9.50,9.23,0.00,0.00,8.42,6.17,0.19,0.18,0.30,0.30,0.00,0.00,0.25,0.17,0
'[13:33:36.356 20/01/2026]',1.23,1.20,1.45,1.41,0.00,0.00,1.37,1.18,5.69,5.81,6.93,7.10,0.00,0.00,6.58,5.37,8.06,7.91,10.54,10.14,0.00,0.00,9.81,7.96,6.73,5.95,9.72,9.48,0.00,0.00,8.61,6.31,0.19,0.19,0.30,0.32,0.00,0.00,0.26,0.17,0
'[13:33:36.374 20/01/2026]',1.27,1.22,1.49,1.41,0.00,0.00,1.39,1.19,5.74,5.83,7.00,7.13,0.00,0.00,6.62,5.39,8.13,8.01,10.66,10.28,0.00,0.00,9.91,8.07,6.87,6.10,9.92,9.72,0.00,0.00,8.79,6.45,0.19,0.19,0.31,0.33,0.00,0.00,0.26,0.16,0
'[13:33:36.391 20/01/2026]',1.28,1.24,1.51,1.44,0.00,0.00,1.41,1.20,5.83,5.86,7.12,7.19,0.00,0.00,6.71,5.41,8.10,8.08,10.69,10.38,0.00,0.00,9.93,8.17,6.98,6.26,10.07,9.93,0.00,0.00,8.90,6.57,0.20,0.19,0.31,0.34,0.00,0.00,0.27,0.16,0
'[13:33:36.409 20/01/2026]',1.24,1.22,1.46,1.46,0.00,0.00,1.34,1.20,5.89,5.91,7.20,7.31,0.00,0.00,6.75,5.46,8.02,8.08,10.62,10.40,0.00,0.00,9.86,8.19,7.04,6.38,10.14,10.08,0.00,0.00,8.95,6.65,0.22,0.19,0.31,0.34,0.00,0.00,0.27,0.16,0
'[13:33:36.423 20/01/2026]',1.22,1.17,1.43,1.38,0.00,0.00,1.33,1.15,5.96,5.92,7.31,7.38,0.00,0.00,6.80,5.47,7.87,8.02,10.51,10.31,0.00,0.00,9.73,8.15,6.98,6.47,10.06,10.15,0.00,0.00,8.87,6.68,0.23,0.20,0.32,0.34,0.00,0.00,0.28,0.19,0
'[13:33:36.440 20/01/2026]',1.21,1.16,1.41,1.37,0.00,0.00,1.31,1.14,6.02,5.93,7.40,7.46,0.00,0.00,6.86,5.49,7.74,7.90,10.40,10.18,0.00,0.00,9.61,8.04,6.92,6.46,9.99,10.09,0.00,0.00,8.79,6.61,0.23,0.21,0.32,0.35,0.00,0.00,0.28,0.19,0
'[13:33:36.457 20/01/2026]',1.20,1.16,1.39,1.35,0.00,0.00,1.30,1.13,6.08,5.94,7.49,7.54,0.00,0.00,6.91,5.51,7.62,7.79,10.30,10.05,0.00,0.00,9.49,7.95,6.86,6.44,9.93,10.03,0.00,0.00,8.72,6.54,0.23,0.21,0.33,0.35,0.00,0.00,0.29,0.20,0
'[13:33:36.473 20/01/2026]',1.25,1.15,1.49,1.34,0.00,0.00,1.39,1.13,6.02,5.95,7.43,7.61,0.00,0.00,6.82,5.52,7.38,7.69,10.05,9.93,0.00,0.00,9.23,7.86,6.68,6.43,9.69,9.97,0.00,0.00,8.49,6.48,0.24,0.21,0.33,0.35,0.00,0.00,0.29,0.20,0
'[13:33:36.490 20/01/2026]',1.31,1.21,1.58,1.45,0.00,0.00,1.48,1.19,5.95,5.84,7.37,7.53,0.00,0.00,6.73,5.42,7.16,7.46,9.81,9.68,0.00,0.00,8.99,7.65,6.51,6.29,9.47,9.74,0.00,0.00,8.28,6.30,0.24,0.22,0.32,0.35,0.00,0.00,0.28,0.21,0
'[13:33:36.507 20/01/2026]',1.36,1.27,1.66,1.55,0.00,0.00,1.56,1.24,5.90,5.73,7.32,7.46,0.00,0.00,6.65,5.32,6.95,7.25,9.60,9.44,0.00,0.00,8.77,7.45,6.35,6.16,9.26,9.52,0.00,0.00,8.09,6.13,0.24,0.22,0.32,0.34,0.00,0.00,0.28,0.21,0
'[13:33:36.523 20/01/2026]',1.36,1.33,1.65,1.64,0.00,0.00,1.55,1.29,5.78,5.63,7.15,7.39,0.00,0.00,6.48,5.23,6.70,7.06,9.29,9.23,0.00,0.00,8.46,7.27,6.14,6.04,8.96,9.32,0.00,0.00,7.81,5.98,0.25,0.22,0.35,0.34,0.00,0.00,0.30,0.21,0
'[13:33:36.540 20/01/2026]',1.37,1.33,1.65,1.62,0.00,0.00,1.54,1.30,5.68,5.48,7.01,7.20,0.00,0.00,6.32,5.10,6.46,6.82,9.00,8.90,0.00,0.00,8.17,7.04,5.94,5.87,8.68,9.02,0.00,0.00,7.56,5.79,0.26,0.23,0.37,0.36,0.00,0.00,0.32,0.22,0
'[13:33:36.560 20/01/2026]',1.35,1.34,1.63,1.60,0.00,0.00,1.51,1.31,5.52,5.34,6.80,7.03,0.00,0.00,6.12,4.97,6.22,6.59,8.71,8.60,0.00,0.00,7.87,6.83,5.75,5.71,8.42,8.74,0.00,0.00,7.33,5.61,0.25,0.24,0.36,0.38,0.00,0.00,0.31,0.23,0
'[13:33:36.574 20/01/2026]',1.31,1.32,1.57,1.57,0.00,0.00,1.46,1.29,5.34,5.15,6.58,6.81,0.00,0.00,5.90,4.79,5.96,6.34,8.40,8.29,0.00,0.00,7.56,6.59,5.58,5.56,8.19,8.48,0.00,0.00,7.15,5.46,0.24,0.23,0.35,0.37,0.00,0.00,0.31,0.22,0
'[13:33:36.591 20/01/2026]',1.27,1.27,1.52,1.50,0.00,0.00,1.40,1.25,5.18,4.95,6.37,6.57,0.00,0.00,5.69,4.60,5.72,6.07,8.11,7.98,0.00,0.00,7.27,6.33,5.42,5.43,7.98,8.26,0.00,0.00,6.97,5.35,0.23,0.22,0.35,0.37,0.00,0.00,0.30,0.22,0
'[13:33:36.607 20/01/2026]',1.24,1.23,1.47,1.44,0.00,0.00,1.35,1.21,5.03,4.76,6.17,6.35,0.00,0.00,5.49,4.42,5.50,5.82,7.84,7.69,0.00,0.00,7.00,6.09,5.29,5.31,7.81,8.06,0.00,0.00,6.83,5.24,0.22,0.22,0.33,0.37,0.00,0.00,0.29,0.21,0
'[13:33:36.624 20/01/2026]',1.20,1.20,1.43,1.39,0.00,0.00,1.31,1.17,4.89,4.59,5.99,6.14,0.00,0.00,5.30,4.25,5.29,5.57,7.59,7.41,0.00,0.00,6.75,5.86,5.17,5.22,7.64,7.89,0.00,0.00,6.70,5.16,0.21,0.21,0.31,0.35,0.00,0.00,0.27,0.20,0
'[13:33:36.641 20/01/2026]',1.16,1.17,1.38,1.35,0.00,0.00,1.26,1.14,4.77,4.43,5.84,5.95,0.00,0.00,5.13,4.09,5.09,5.35,7.34,7.15,0.00,0.00,6.50,5.65,5.06,5.13,7.50,7.73,0.00,0.00,6.58,5.08,0.20,0.20,0.31,0.34,0.00,0.00,0.27,0.19,0
'[13:33:36.657 20/01/2026]',1.12,1.13,1.32,1.29,0.00,0.00,1.22,1.11,4.67,4.30,5.71,5.79,0.00,0.00,4.98,3.95,4.98,5.13,7.26,7.07,0.00,0.00,6.40,5.45,4.96,5.06,7.36,7.59,0.00,0.00,6.48,5.03,0.20,0.20,0.30,0.33,0.00,0.00,0.26,0.19,0
'[13:33:36.674 20/01/2026]',1.09,1.09,1.28,1.24,0.00,0.00,1.18,1.08,4.57,4.18,5.58,5.64,0.00,0.00,4.84,3.83,5.10,5.11,7.47,7.28,0.00,0.00,6.58,5.25,4.86,4.99,7.24,7.47,0.00,0.00,6.38,4.98,0.20,0.19,0.30,0.32,0.00,0.00,0.26,0.18,0
'[13:33:36.691 20/01/2026]',1.05,1.05,1.23,1.19,0.00,0.00,1.15,1.05,4.48,4.06,5.47,5.51,0.00,0.00,4.71,3.71,5.21,5.18,7.66,7.47,0.00,0.00,6.74,5.08,4.78,4.93,7.12,7.35,0.00,0.00,6.29,4.93,0.19,0.19,0.29,0.32,0.00,0.00,0.25,0.18,0
'[13:33:36.708 20/01/2026]',1.02,1.02,1.19,1.14,0.00,0.00,1.11,1.03,4.40,3.96,5.36,5.38,0.00,0.00,4.59,3.60,5.32,5.25,7.84,7.64,0.00,0.00,6.88,4.91,4.70,4.87,7.01,7.24,0.00,0.00,6.21,4.89,0.19,0.19,0.29,0.31,0.00,0.00,0.25,0.17,0
'[13:33:36.725 20/01/2026]',0.99,0.99,1.15,1.10,0.00,0.00,1.08,1.01,4.32,3.86,5.26,5.26,0.00,0.00,4.48,3.50,5.43,5.31,8.03,7.81,0.00,0.00,7.02,4.77,4.63,4.81,6.91,7.14,0.00,0.00,6.14,4.85,0.18,0.19,0.29,0.31,0.00,0.00,0.24,0.17,0
'[13:33:36.742 20/01/2026]',0.96,0.96,1.12,1.07,0.00,0.00,1.05,0.97,4.25,3.77,5.16,5.15,0.00,0.00,4.38,3.49,5.53,5.36,8.20,7.97,0.00,0.00,7.15,4.83,4.56,4.77,6.82,7.04,0.00,0.00,6.07,4.82,0.17,0.17,0.29,0.31,0.00,0.00,0.24,0.16,0
